,PORTCODE,ASONDATE,VALUE
263,500790,16-08-2018,25600000.0
264,500790,16-08-2018,25600000.0
265,500790,16-08-2018,0.0
266,500790,16-08-2018,0.0
267,500790,16-08-2018,0.0
268,500790,16-08-2018,0.0
269,500790,16-08-2018,0.0
270,500790,16-08-2018,0.0
271,500790,16-08-2018,0.0
272,500790,16-08-2018,0.0
273,500827,15-08-2018,10.0
274,500822,21-09-2018,3.3
275,500790,17-08-2018,25600000.0
276,500790,17-08-2018,25600000.0
277,500790,17-08-2018,273.97
278,500228,22-12-2016,10.0
279,500624,01-06-2018,0.0
280,500624,01-06-2018,0.0
281,500624,01-06-2018,0.0
282,500624,01-06-2018,0.0
283,500624,01-06-2018,0.0
284,500624,01-06-2018,0.0
285,500624,01-06-2018,999999.0
286,500624,01-06-2018,999999.0
287,500848,19-03-2016,148.043280457415
288,500017,01-06-2018,499.6
289,500017,01-06-2018,499.6
290,500017,01-06-2018,127846.7429
291,500017,01-06-2018,499600.4
292,500247,09-02-2017,120000.0
293,500243,07-02-2017,10.0
294,500243,08-02-2017,300000.0
295,500247,08-02-2017,10.0
296,500247,09-02-2017,0.07
297,500247,09-02-2017,120000.0
298,500247,09-02-2017,119999.93
299,500247,09-02-2017,1000.0
300,500247,09-02-2017,119.9999
301,500238,09-02-2017,30000.0
302,500238,09-02-2017,30000.0
303,500247,10-02-2017,120000.0
304,500247,10-02-2017,0.07
305,500247,10-02-2017,119999.93
306,500247,10-02-2017,1000.0
307,500247,10-02-2017,119.9999
308,500238,10-02-2017,30000.0
309,500238,10-02-2017,30000.0
310,500238,10-02-2017,30000.0
311,500247,11-02-2017,120000.0
312,500247,10-02-2017,120000.0
313,500247,11-02-2017,120000.0
314,500247,11-02-2017,5.48
315,500247,11-02-2017,0.07
316,500247,11-02-2017,119994.45
317,500247,11-02-2017,1000.0
318,500247,11-02-2017,119.9945
319,500238,11-02-2017,30000.0
320,500238,11-02-2017,30000.0
321,500238,11-02-2017,30000.0
322,500247,12-02-2017,120000.0
323,500247,12-02-2017,120000.0
324,500437,31-12-2016,12.0
325,500238,24-03-2017,30000.0
326,500238,24-03-2017,30000.0
327,500017,01-06-2018,100.0
328,500017,01-06-2018,100.0
329,500017,01-06-2018,499600.4
330,500017,01-06-2018,1000.0
331,500247,24-03-2017,120000.0
332,500247,24-03-2017,120000.0
333,500017,01-06-2018,10.0
334,500247,23-05-2017,120000.0
335,500247,23-05-2017,120000.0
336,500238,23-05-2017,30000.0
337,500238,23-05-2017,30000.0
338,500238,23-05-2017,30000.0
339,500238,13-02-2017,30000.0
340,500238,13-02-2017,30000.0
341,500238,13-02-2017,30000.0
342,500017,01-06-2018,499.6004
343,500247,01-05-2017,120000.0
344,500238,17-02-2017,30000.0
345,500238,17-02-2017,30000.0
346,500017,01-06-2018,500100.0
347,500247,01-05-2017,120000.0
348,500238,01-05-2017,30000.0
349,500238,01-05-2017,30000.0
350,500135,15-11-2012,100.0
351,500135,16-11-2012,100.0
352,500135,17-11-2012,100.0
353,500135,18-11-2012,100.0
354,500135,19-11-2012,100.0
355,500135,20-11-2012,100.0
356,500135,21-11-2012,100.0
357,500135,22-11-2012,100.0
358,500135,23-11-2012,100.0
359,500135,24-11-2012,100.0
360,500135,25-11-2012,100.0
361,500135,26-11-2012,100.0
362,500135,27-11-2012,100.0
363,500135,28-11-2012,100.0
364,500135,29-11-2012,100.0
365,500135,30-11-2012,97.4532838381929
366,500135,01-12-2012,97.4532838381929
367,500135,02-12-2012,97.4532838381929
368,500135,03-12-2012,96.470318222012
369,500135,04-12-2012,96.470318222012
370,500135,05-12-2012,96.470318222012
371,500135,06-12-2012,96.470318222012
372,500135,07-12-2012,96.470318222012
373,500135,08-12-2012,96.470318222012
374,500135,09-12-2012,96.470318222012
375,500135,10-12-2012,96.470318222012
376,500135,11-12-2012,96.470318222012
377,500135,12-12-2012,98.1259824085378
378,500238,09-02-2017,30000.0
379,500135,13-12-2012,98.1259824085378
380,500135,14-12-2012,98.1259824085378
381,500135,15-12-2012,98.1259824085378
382,500135,16-12-2012,98.1259824085378
383,500135,17-12-2012,98.1259824085378
384,500135,18-12-2012,98.1259824085378
385,500135,19-12-2012,98.1259824085378
386,500135,20-12-2012,98.1259824085378
387,500135,21-12-2012,98.1259824085378
